email_identifier,Extroversion,Agreeableness,Conscientiousness,EmotionalStability,OpennessToExperience
805,34,45,49,38,47
806,23,43,44,26,39
807,36,35,43,34,39
181,34,38,31,36,35
808,38,45,43,34,42
809,30,38,41,33,40
810,39,46,37,27,37
811,36,38,38,37,37
213,24,44,37,32,38
812,32,41,38,33,35
813,30,46,41,44,35
814,26,40,45,35,38
815,32,41,46,40,43
286,33,48,44,40,43
816,34,43,44,41,39
577,34,40,38,31,37
817,41,48,50,43,47
818,35,41,40,34,40
819,31,39,45,45,42
468,32,46,43,40,43
820,32,38,44,38,41
821,16,13,12,25,22
822,38,37,46,48,40
823,32,45,50,38,40
824,40,49,48,39,45
825,35,47,48,37,44
639,34,43,43,37,40
826,34,39,42,37,37
261,32,35,49,46,43
625,35,41,33,34,41
827,31,41,32,27,44
185,32,31,37,29,42
828,30,37,39,31,37
465,37,43,47,37,37
311,3,17,9,12,11
124,33,46,39,34,46
829,37,46,44,38,43
830,35,44,46,38,46
89,29,44,48,41,44
497,31,45,41,36,39
449,32,43,44,36,43
411,34,46,42,37,39
831,41,34,19,36,31
832,37,38,41,38,46
833,41,50,49,43,44
588,39,50,48,35,46
834,34,45,49,42,43
835,34,40,41,29,39
836,33,42,40,37,36
837,31,38,47,32,38
838,38,41,50,40,42
839,35,42,45,34,42
840,34,49,49,45,43
841,25,37,40,39,42
842,34,40,45,45,44
480,24,39,34,34,43
590,29,33,41,42,38
843,34,46,43,41,36
844,27,39,42,37,42
845,39,49,47,40,42
846,42,45,46,41,42
847,26,35,37,33,38
848,36,40,23,29,43
594,38,43,47,40,45
849,27,34,46,41,35
850,26,43,39,41,38
851,22,36,42,25,34
852,45,45,40,34,42
642,31,41,41,31,40
853,37,45,47,36,43
854,10,4,0,3,15
855,26,44,46,29,41
461,28,38,42,37,36
856,35,43,46,27,46
394,35,43,40,38,37
857,29,50,44,29,44
148,36,42,45,43,41
858,32,41,45,45,35
859,33,37,35,33,37
860,32,43,41,37,39
861,40,50,50,42,48
67,26,41,38,34,37
862,33,48,46,36,42
863,33,39,39,38,40
864,32,45,43,38,41
407,36,43,45,39,39
865,31,44,45,38,45
866,30,42,39,38,40
867,27,45,46,42,41
146,34,47,49,40,42
868,39,44,39,38,39
869,32,49,47,44,37
192,22,35,34,25,31
870,31,42,40,36,37
871,38,48,48,44,40
872,34,44,42,38,38
873,38,46,45,43,44
874,41,46,49,45,45
875,35,43,47,42,37
876,34,46,40,38,32
877,37,42,41,38,39
878,28,45,46,35,40
879,25,38,41,29,36
880,31,38,43,35,40
881,37,48,50,43,48
882,31,44,47,33,47
883,34,38,40,36,38
884,32,47,50,37,43
522,39,49,50,44,48
885,38,43,41,37,41
886,33,46,46,43,44
887,34,42,39,34,33
313,30,50,50,21,44
528,39,49,50,43,48
888,36,43,39,40,43
889,30,38,41,38,41
890,35,49,50,44,47
891,28,43,44,33,34
